GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2020;01001;Flensburg, kreisfreie Stadt;2709;2485;3027;3789;2206;1963;8433;7991;6174;5025;4843;4940;6419;6247;5411;8735;9537;89934
31.12.2020;01002;Kiel, kreisfreie Stadt;6782;6471;7767;9641;5685;4957;21905;23230;20699;16276;13923;13663;17594;17142;14281;22146;24439;246601
31.12.2020;01003;Lübeck, kreisfreie Stadt;5501;5625;7073;8968;5394;3984;13552;14587;14551;12871;12222;12791;16709;17144;14129;23101;27644;215846
31.12.2020;01004;Neumünster, kreisfreie Stadt;2091;2170;2752;3780;2257;1702;4903;4802;5332;4621;4586;4750;6248;6314;5360;8465;9772;79905
31.12.2020;01051;Dithmarschen, Landkreis;3188;3338;4424;6040;3906;2748;7219;6804;7086;6760;6976;7855;11299;11669;10233;16719;16987;133251
31.12.2020;01053;Herzogtum Lauenburg, Landkreis;5522;6099;7509;9546;5984;4007;9279;9107;11259;12122;12227;12537;17189;17570;14067;20786;24342;199152
31.12.2020;01054;Nordfriesland, Landkreis;4075;4280;5435;7175;4864;3418;8800;9169;9562;8838;9015;10005;14022;14951;12406;20229;20903;167147
31.12.2020;01055;Ostholstein, Landkreis;4398;4529;6240;8281;5320;3720;8770;8699;9974;10154;10886;12192;17543;18473;15871;27026;29411;201487
31.12.2020;01056;Pinneberg, Landkreis;8860;9301;11908;15077;9175;6237;15790;15955;18292;19292;19938;20391;27578;27161;21431;32437;38262;317085
31.12.2020;01057;Plön, Landkreis;3201;3382;4411;5913;3685;2578;5504;5286;6418;6691;7062;7848;11419;11811;9663;16219;18262;129353
31.12.2020;01058;Rendsburg-Eckernförde, Landkreis;7053;7635;10015;13121;8338;5713;13095;12623;14671;15124;15530;17108;24499;24602;19758;32015;33865;274765
31.12.2020;01059;Schleswig-Flensburg, Landkreis;5370;5841;7310;9641;6047;4067;9549;9839;11450;10822;11464;11955;17488;17843;14723;24211;25027;202647
31.12.2020;01060;Segeberg, Landkreis;7543;7947;10537;13064;8138;5423;13387;13817;16798;17529;17606;17743;24156;23794;18915;29267;32343;278007
31.12.2020;01061;Steinburg, Landkreis;3184;3569;4567;5908;3796;2666;6441;6610;7511;7097;7022;8001;11946;12302;9799;14467;15820;130706
31.12.2020;01062;Stormarn, Landkreis;6542;7108;9511;12211;7198;4757;11219;10410;12733;14827;15766;15800;21775;21224;16439;25993;31476;244989
31.12.2020;02000;Hamburg, kreisfreie Stadt;59735;58290;68352;80222;46892;32927;112162;143196;158049;141149;127935;117904;137321;129874;101838;154668;181964;1852478
31.12.2020;03101;Braunschweig, kreisfreie Stadt;6725;6414;7811;9734;5769;4504;16693;21091;19768;16728;14772;14530;18323;17740;15282;23864;28813;248561
31.12.2020;03102;Salzgitter, kreisfreie Stadt;3451;3413;4140;5068;3021;2199;6029;6043;6180;5800;5909;5890;7639;8057;7119;11438;12470;103866
31.12.2020;03103;Wolfsburg, kreisfreie Stadt;3874;3959;4644;5408;3167;2256;6200;7683;9038;8628;7826;7085;9007;9303;8027;12376;15359;123840
31.12.2020;03151;Gifhorn, Landkreis;5571;5756;6902;8652;5345;3714;8557;8717;10921;11122;10572;10790;14848;16003;13275;18578;17904;177227
31.12.2020;03152;Göttingen, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03153;Goslar, Landkreis;2806;3061;3775;5226;3265;2604;7055;7436;7255;6721;6946;7897;11166;11752;10283;17469;19971;134688
31.12.2020;03154;Helmstedt, Landkreis;2626;2616;3103;4008;2453;1650;4242;4412;5586;5492;5472;5357;7613;8116;7084;10644;11044;91518
31.12.2020;03155;Northeim, Landkreis;3174;3344;4343;5559;3557;2467;6638;6297;7047;6916;6962;7721;10976;11968;10662;16504;17637;131772
31.12.2020;03156;Osterode am Harz, Landkreis (bis 31.10.2016);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03157;Peine, Landkreis;4122;4179;5273;6518;4130;2833;6863;6619;7999;8106;8079;8706;11761;11801;9506;14275;15074;135844
31.12.2020;03158;Wolfenbüttel, Landkreis;3149;3178;3980;5105;3341;2424;6182;5851;6541;6422;6720;7345;10602;10707;9060;13766;14988;119361
31.12.2020;03159;Göttingen, Landkreis;8293;8460;10669;13554;8607;6489;22167;21837;20933;18386;17191;18201;24508;26421;23173;36491;38520;323900
31.12.2020;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03241;Region Hannover, Landkreis;33220;33753;41856;52305;31040;22214;68634;76912;78481;73856;70561;70306;89700;90062;75202;114916;132312;1155330
31.12.2020;03251;Diepholz, Landkreis;5977;6120;7823;10136;6343;4558;11098;11124;12611;12396;12199;13496;19226;19185;16209;24363;25208;218072
31.12.2020;03252;Hameln-Pyrmont, Landkreis;3933;4037;5157;6484;4166;2933;7328;7468;8006;7956;7931;8672;12122;12969;11317;17682;20419;148580
31.12.2020;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2020;03254;Hildesheim, Landkreis;7242;7177;9221;11891;7824;5573;16465;16098;15806;15001;15179;16501;22649;23643;20060;30910;34224;275464
31.12.2020;03255;Holzminden, Landkreis;1741;1782;2203;2936;1921;1392;3664;3564;3755;3648;3556;3952;5708;6189;5365;8915;9916;70207
31.12.2020;03256;Nienburg (Weser), Landkreis;3312;3456;4403;5788;3707;2597;6581;6363;6773;6710;6632;7252;10195;10973;9317;13718;13868;121645
31.12.2020;03257;Schaumburg, Landkreis;4024;4216;5278;6860;4472;3184;8104;7781;8564;8652;8668;9486;13728;14147;11855;18442;20945;158406
31.12.2020;03351;Celle, Landkreis;5023;5234;6779;8448;5464;3709;8949;9254;10730;10392;10206;10642;14044;14968;12873;20867;21804;179386
31.12.2020;03352;Cuxhaven, Landkreis;5190;5405;6913;9088;5652;3878;9239;9287;10627;10604;10633;12078;16661;17284;15023;25790;25474;198826
31.12.2020;03353;Harburg, Landkreis;7119;7713;9823;12175;7514;5083;12548;11854;14013;15185;15980;16260;22685;22794;17643;27288;30339;256016
31.12.2020;03354;Lüchow-Dannenberg, Landkreis;1105;1178;1579;2082;1391;988;2021;2027;2287;2429;2555;2727;3934;4331;4066;6768;7035;48503
31.12.2020;03355;Lüneburg, Landkreis;5052;5341;6971;8735;5478;3857;11293;10468;11469;11165;11425;11722;15518;15498;12265;18860;19118;184235
31.12.2020;03356;Osterholz, Landkreis;3111;3440;4238;5304;3268;2293;5263;4998;6124;6609;6569;7089;10161;10377;8565;13418;13813;114640
31.12.2020;03357;Rotenburg (Wümme), Landkreis;4626;4564;5769;7821;5155;3722;9150;8819;9816;9324;9232;10349;14048;14445;11923;18161;17562;164486
31.12.2020;03358;Heidekreis;3954;3922;5067;6579;4209;3046;7751;7683;8543;7943;7928;8310;11544;12121;10327;15350;16608;140885
