krs1214;name;krankenhausbetten2014;t_typ
1001000;Flensburg, Stadt;101,9;1
1002000;Kiel, Landeshauptstadt;93,2;5
1003000;Lübeck, Hansestadt;80,2;5
1004000;Neumünster, Stadt;87,4;1
3103000;Wolfsburg, Stadt;46,7;5
1051000;Dithmarschen;53;1
1053000;Herzogtum Lauenburg;31,6;4
1056000;Pinneberg;32;5
1054000;Nordfriesland;44,9;1
1055000;Ostholstein;90,1;1
1057000;Plön;17,7;4
1058000;Rendsburg-Eckernförde;40,6;1
3101000;Braunschweig, Stadt;80,6;5
1059000;Schleswig-Flensburg;34,1;1
1060000;Segeberg;64,1;3
3102000;Salzgitter, Stadt;46,8;4
1061000;Steinburg;48,6;4
1062000;Stormarn;48,3;3
2000000;Hamburg, Freie und Hansestadt;65;5
3151000;Gifhorn;26,4;1
3152000;Göttingen;125,8;3
3153000;Goslar;80,4;4
3154000;Helmstedt;85;1
3155000;Northeim;33,4;1
3156000;Osterode am Harz;58;1
3404000;Osnabrück, Stadt;126,5;5
3157000;Peine;23,9;4
3158000;Wolfenbüttel;24,7;4
3241000;Region Hannover;62,6;5
3405000;Wilhelmshaven, Stadt;87,8;4
3251000;Diepholz;22,9;1
3252000;Hameln-Pyrmont;75;4
3254000;Hildesheim;66,8;4
3451000;Ammerland;67,6;2
3255000;Holzminden;29,5;1
3256000;Nienburg (Weser);26,5;1
3257000;Schaumburg;41,2;4
5113000;Essen, Stadt;98,1;5
3351000;Celle;36,8;1
3352000;Cuxhaven;35,7;1
3353000;Harburg;30,5;3
5119000;Oberhausen, Stadt;69,8;5
3354000;Lüchow-Dannenberg;22,6;1
3355000;Lüneburg;48,1;4
3356000;Osterholz;19;1
5114000;Krefeld, Stadt;90,6;5
3357000;Rotenburg (Wümme);61;1
3358000;Heidekreis;36,1;1
3359000;Stade;46,1;4
3360000;Uelzen;86,9;1
3361000;Verden;19,7;2
3401000;Delmenhorst, Stadt;63,6;1
3402000;Emden, Stadt;70;1
3403000;Oldenburg (Oldenburg), Stadt;104,5;5
3452000;Aurich;36,8;1
3453000;Cloppenburg;30,5;1
3454000;Emsland;55,1;2
5116000;Mönchengladbach, Stadt;84,6;5
3455000;Friesland;46,8;4
3456000;Grafschaft Bentheim;44,6;1
3457000;Leer;42,2;1
3458000;Oldenburg;18,8;1
3459000;Osnabrück;47,7;1
3460000;Vechta;66,1;2
3461000;Wesermarsch;24,6;1
5117000;Mülheim an der Ruhr, Stadt;53,9;5
3462000;Wittmund;29;1
4011000;Bremen, Stadt;73,7;5
4012000;Bremerhaven, Stadt;97,3;5
5111000;Düsseldorf, Stadt;84,8;5
